Unnamed: 0,Symbol,Company Name,Exchange,Cleaned Name
0,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,ARTIUS II ACQUISITION . - CLASS A ORDINARY SHARES
1,AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,ARTIUS II ACQUISITION . - RIGHTS
2,AACBU,Artius II Acquisition Inc. - Units,NASDAQ,ARTIUS II ACQUISITION . - UNITS
3,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,"ATA CREATIVITY GLOBAL - AMERICAN DEPOSITARY SHARES, EACH REPRESENTING TWO COMMON SHARES"
4,AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,ADVISORSHARES DORSEY WRIGHT ADR ETF
5,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,"AMERICAN AIRLINES GROUP, . - COMMON STOCK"
6,AAME,Atlantic American Corporation - Common Stock,NASDAQ,ATLANTIC AMERICAN - COMMON STOCK
7,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,"APPLIED OPTOELECTRONICS, . - COMMON STOCK"
8,AAON,"AAON, Inc. - Common Stock",NASDAQ,"AAON, . - COMMON STOCK"
9,AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,GRANITESHARES 2X LONG AAPL DAILY ETF
10,AAPD,Direxion Daily AAPL Bear 1X Shares,NASDAQ,DIREXION DAILY AAPL BEAR 1X SHARES
11,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,ASCENTAGE PHARMA GROUP INTERNATIONAL - AMERICAN DEPOSITORY SHARES
12,AAPL,Apple Inc. - Common Stock,NASDAQ,APPLE . - COMMON STOCK
13,AAPU,Direxion Daily AAPL Bull 2X Shares,NASDAQ,DIREXION DAILY AAPL BULL 2X SHARES
14,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,"AARDVARK THERAPEUTICS, . - COMMON STOCK"
15,AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,ALPHA ARCHITECT GLOBAL FACTOR EQUITY ETF
16,AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF
17,ABAT,American Battery Technology Company - Common Stock,NASDAQ,AMERICAN BATTERY TECHNOLOGY COMPANY - COMMON STOCK
18,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,ABCELLERA BIOLOGICS . - COMMON SHARES
19,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,ALPHA BLUE CAPITAL US SMALL-MID CAP DYNAMIC ETF
20,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,ABEONA THERAPEUTICS . - COMMON STOCK
21,ABIG,Argent Large Cap ETF,NASDAQ,ARGENT LARGE CAP ETF
22,ABL,"Abacus Global Management, Inc. - Class A Common Stock",NASDAQ,"ABACUS GLOBAL MANAGEMENT, . - CLASS A COMMON STOCK"
