politician_name,politician_party,politician_chamber,politician_state,company,ticker,type,owner,traded_dt,published_dt,published_note,filed_after_days,size,size_low_usd,size_high_usd,price,price_usd,notional_low,notional_high,detail_url,politician,issuer,published,traded,filed_after,open,high,low,close,adj_close,volume,prev_close,ret_1d,fwd_ret_1d,roll5_ret,roll20_ret,short_name,sector,industry,market_cap,exchange,quote_type,size_low_pct_mcap,size_high_pct_mcap
Julie Johnson,Democrat,House,TX,Blackrock Inc,BLK,sell,joint,2025-07-22,,13:05Yesterday,23.0,1K–15K,1000.0,15000.0,"$1,100.39",1100.39,1100390.0,16505850.000000002,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Blackrock IncBLK:US,13:05Yesterday,22 Jul2025,days23,1096.0799560546875,1103.81005859375,1086.1800537109375,1100.3900146484375,1100.3900146484375,580800.0,1093.02001953125,0.006742781454586844,0.018157180820232544,0.051837174712253735,0.11567477265285801,"BlackRock, Inc.",Financial Services,Asset Management,175759704064.0,NYQ,EQUITY,5.6895862753379836e-09,8.534379413006975e-08
Julie Johnson,Democrat,House,TX,Chevron Corp,CVX,buy,joint,2025-07-25,,13:05Yesterday,20.0,1K–15K,1000.0,15000.0,$154.84,154.84,154840.0,2322600.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Chevron CorpCVX:US,13:05Yesterday,25 Jul2025,days20,155.8300018310547,156.1999969482422,153.9600067138672,154.83999633789062,154.83999633789062,7875500.0,155.8300018310547,-0.006353112247520776,0.00929993848788202,0.03199149071277279,0.07200217197935334,Chevron Corporation,Energy,Oil & Gas Integrated,315420082176.0,NYQ,EQUITY,3.1703751806202812e-09,4.755562770930422e-08
Julie Johnson,Democrat,House,TX,Chevron Corp,CVX,exchange,joint,2025-07-21,,13:05Yesterday,24.0,1K–15K,1000.0,15000.0,$149.68,149.68,149680.0,2245200.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Chevron CorpCVX:US,13:05Yesterday,21 Jul2025,days24,151.1999969482422,151.6699981689453,149.1300048828125,149.67999267578125,149.67999267578125,17982200.0,150.0399932861328,-0.002399364345911592,0.0024051351414169364,-0.012990447082034385,0.0008692050910785397,Chevron Corporation,Energy,Oil & Gas Integrated,315420082176.0,NYQ,EQUITY,3.1703751806202812e-09,4.755562770930422e-08
Julie Johnson,Democrat,House,TX,CME Group Inc,CME,buy,joint,2025-07-22,,13:05Yesterday,23.0,1K–15K,1000.0,15000.0,$274.64,274.64,274640.0,4119600.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,CME Group IncCME:US,13:05Yesterday,22 Jul2025,days23,275.0,275.67999267578125,273.25,274.6400146484375,274.6400146484375,2722700.0,275.0,-0.0013090376420454852,0.006699665888985518,-0.0013090376420455193,0.007261831437447959,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,98715295744.0,NMS,EQUITY,1.0130142370168412e-08,1.519521355525262e-07
Julie Johnson,Democrat,House,TX,Exxon Mobil Corp,XOM,sell,joint,2025-07-25,,13:05Yesterday,20.0,1K–15K,1000.0,15000.0,$110.40,110.4,110400.0,1656000.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Exxon Mobil CorpXOM:US,13:05Yesterday,25 Jul2025,days20,110.7300033569336,110.9800033569336,109.69999694824219,110.4000015258789,109.38215637207031,10548900.0,110.79000091552734,-0.0035201677626647276,0.009420298017691175,0.02440386902416887,0.003727644968383388,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,453993463808.0,NYQ,EQUITY,2.2026748834932867e-09,3.30401232523993e-08
Julie Johnson,Democrat,House,TX,Microsoft Corp,MSFT,sell,joint,2025-07-29,,13:05Yesterday,16.0,1K–15K,1000.0,15000.0,$512.57,512.57,512570.00000000006,7688550.000000001,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Microsoft CorpMSFT:US,13:05Yesterday,29 Jul2025,days16,515.530029296875,517.6199951171875,511.55999755859375,512.5700073242188,512.5700073242188,16469200.0,512.5,0.0001365996570121819,0.0013071051770152664,0.014447757573722365,0.030477882532510412,Microsoft Corporation,Technology,Software - Infrastructure,3866511802368.0,NMS,EQUITY,2.5863104811617586e-10,3.8794657217426375e-09
Julie Johnson,Democrat,House,TX,Packaging Corp Of America,PKG,buy,joint,2025-07-22,,13:05Yesterday,23.0,1K–15K,1000.0,15000.0,$205.29,205.29,205290.0,3079350.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Packaging Corp Of AmericaPKG:US,13:05Yesterday,22 Jul2025,days23,201.69000244140625,205.8000030517578,201.69000244140625,205.2899932861328,205.2899932861328,813800.0,201.38999938964844,0.019365380149481526,0.0050173611562756015,0.028094956010242096,0.0879173111086006,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,17403699200.0,NYQ,EQUITY,5.7459048706150934e-08,8.618857305922639e-07
Julie Johnson,Democrat,House,TX,Packaging Corp Of America,PKG,buy,joint,2025-07-25,,13:05Yesterday,20.0,1K–15K,1000.0,15000.0,$206.53,206.53,206530.0,3097950.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Packaging Corp Of AmericaPKG:US,13:05Yesterday,25 Jul2025,days20,206.2899932861328,207.75,204.1300048828125,206.52999877929688,206.52999877929688,629900.0,205.92999267578125,0.0029136411637729065,-0.011378521848668055,0.03363195687309131,0.10061287235227646,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,17403699200.0,NYQ,EQUITY,5.7459048706150934e-08,8.618857305922639e-07
Julie Johnson,Democrat,House,TX,Parker-Hannifin Corp,PH,sell,joint,2025-07-25,,13:05Yesterday,20.0,1K–15K,1000.0,15000.0,$738.82,738.82,738820.0,11082300.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Parker-Hannifin CorpPH:US,13:05Yesterday,25 Jul2025,days20,731.4600219726562,740.8300170898438,726.1400146484375,738.8200073242188,738.8200073242188,499800.0,729.6199951171875,0.012609320288095471,0.00032482909503794843,0.022475006020483218,0.06810655311486155,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,93272834048.0,NYQ,EQUITY,1.072123529006721e-08,1.6081852935100814e-07
Julie Johnson,Democrat,House,TX,Philip Morris International Inc,PM,sell,joint,2025-07-22,,13:05Yesterday,23.0,1K–15K,1000.0,15000.0,$165.27,165.27,165270.0,2479050.0,https://www.capitoltrades.com/politicians/J000310,Julie JohnsonDemocratHouseTX,Philip Morris International IncPM:US,13:05Yesterday,22 Jul2025,days23,169.6199951171875,170.1999969482422,162.74000549316406,165.27000427246094,165.27000427246094,19831800.0,180.47999572753906,-0.08427522060694104,-0.003630459780992523,-0.08650228860753253,-0.10640709921876156,Philip Morris International Inc,Consumer Defensive,Tobacco,258689695744.0,NYQ,EQUITY,3.865635224178402e-09,5.798452836267603e-08
