sector,trades,win_rate,avg,median,sharpe
Utilities,66.0,0.5454545454545454,0.005445367581093087,0.00269935972957035,0.15174138007637386
Communication Services,391.0,0.4629156010230179,0.0038459557139686453,-0.0031788428750431,0.10535561899014502
Basic Materials,169.0,0.4437869822485207,0.004337860939999326,-0.006961904579001,0.08142477236674815
Real Estate,167.0,0.47904191616766467,0.002359007899246344,-0.001,0.04138704000881192
Consumer Cyclical,562.0,0.49466192170818507,0.001593575746449036,-0.00072739935730795,0.04103610318789341
Industrials,619.0,0.5072697899838449,0.0011441481200234814,0.0013422747819779,0.029839730464353703
Technology,1176.0,0.4846938775510204,4.342692430212222e-05,-0.0012296117925626,0.0008924176900779603
Healthcare,878.0,0.46924829157175396,-0.00286360949838263,-0.0006516832592525,-0.06668136474471588
Consumer Defensive,344.0,0.436046511627907,-0.0023721791252896713,-0.0031843050323054,-0.07388161587392894
Financial Services,734.0,0.3991825613079019,-0.0027766225043246483,-0.0080852100047295,-0.08062192441677256
Energy,203.0,0.3448275862068966,-0.00920413265721224,-0.0120169452968477,-0.2535842953540177
