Company,Ticker
Applied Digital Corporation,APLD
"Lucid Group, Inc.",LCID
NVIDIA Corporation,NVDA
Ford Motor Company,F
Cleveland-Cliffs Inc.,CLF
Palantir Technologies Inc.,PLTR
"Tesla, Inc.",TSLA
B2Gold Corp.,BTG
Sprott Physical Silver Trust,PSLV
D-Wave Quantum Inc.,QBTS
Banco Bradesco S.A.,BBD
Intel Corporation,INTC
"SoFi Technologies, Inc.",SOFI
Blueprint Medicines Corporation,BPMC
American Airlines Group Inc.,AAL
Nu Holdings Ltd.,NU
First Majestic Silver Corp.,AG
New Gold Inc.,NGD
"Warner Bros. Discovery, Inc.",WBD
Transocean Ltd.,RIG
"Hims & Hers Health, Inc.",HIMS
NIO Inc.,NIO
"MARA Holdings, Inc.",MARA
"Tempus AI, Inc.",TEM
"Riot Platforms, Inc.",RIOT
